timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1461322174794,284,[TEST] Get Quote - 1402 - SemiAnnual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,872,1,1,284
1461322175585,735,[TEST] Get Quote - 1403 - Quarterly,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,871,1,1,734
1461322176827,291,[TEST] Get Quote - 1404 - MonthlyPac,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,878,1,1,291
1461322177626,278,[TEST] Get Quote - 1405 - Annual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,872,1,1,278
1461322178412,291,[TEST] Get Quote - 1406 - SemiAnnual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,873,1,1,291
1461322179211,279,[TEST] Get Quote - 1407 - Quarterly,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,878,1,1,279
1461322180004,286,[TEST] Get Quote - 1408 - MonthlyPac,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,878,1,1,285
1461322180797,278,[TEST] Get Quote - 1409 - Annual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,872,1,1,278
1461322181582,269,[TEST] Get Quote - 1410 - SemiAnnual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,878,1,1,269
1461322182358,276,[TEST] Get Quote - 1411 - Quarterly,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,880,1,1,276
1461322183144,292,[TEST] Get Quote - 1412 - MonthlyPac,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,873,1,1,292
1461322183945,288,[TEST] Get Quote - 1413 - Annual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,877,1,1,288
1461322184747,286,[TEST] Get Quote - 1414 - SemiAnnual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,878,1,1,286
1461322185540,273,[TEST] Get Quote - 1415 - Quarterly,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,877,1,1,273
1461322186321,283,[TEST] Get Quote - 1416 - MonthlyPac,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,881,1,1,283
1461322187111,315,[TEST] Get Quote - 1417 - Annual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,877,1,1,315
1461322187934,275,[TEST] Get Quote - 1418 - SemiAnnual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,878,1,1,275
1461322188717,434,[TEST] Get Quote - 1419 - Quarterly,200,652.38,CalcStorm - Lincoln tests 1-1,text,false,1538,1,1,434
1461322189658,287,[TEST] Get Quote - 1420 - MonthlyPac,200,342.78125,CalcStorm - Lincoln tests 1-1,text,false,1544,1,1,287
1461322190456,274,[TEST] Get Quote - 1421 - Annual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,873,1,1,274
1461322191237,286,[TEST] Get Quote - 1422 - SemiAnnual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,871,1,1,286
1461322192031,263,[TEST] Get Quote - 1423 - Quarterly,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,871,1,1,263
1461322192802,364,[TEST] Get Quote - 1424 - MonthlyPac,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,878,1,1,364
1461322193673,286,[TEST] Get Quote - 1425 - Annual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,872,1,1,286
1461322194467,275,[TEST] Get Quote - 1426 - SemiAnnual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,873,1,1,275
1461322195252,280,[TEST] Get Quote - 1427 - Quarterly,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,877,1,1,280
1461322196046,281,[TEST] Get Quote - 1428 - MonthlyPac,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,873,1,1,281
1461322196835,278,[TEST] Get Quote - 1429 - Annual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,871,1,1,278
1461322197620,278,[TEST] Get Quote - 1430 - SemiAnnual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,878,1,1,278
1461322198405,299,[TEST] Get Quote - 1431 - Quarterly,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,879,1,1,299
1461322199212,304,[TEST] Get Quote - 1432 - MonthlyPac,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,873,1,1,304
1461322200024,263,[TEST] Get Quote - 1433 - Annual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,878,1,1,262
1461322200801,260,[TEST] Get Quote - 1434 - SemiAnnual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,878,1,1,260
1461322201569,290,[TEST] Get Quote - 1435 - Quarterly,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,872,1,1,290
1461322202366,280,[TEST] Get Quote - 1436 - MonthlyPac,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,880,1,1,280
1461322203154,283,[TEST] Get Quote - 1437 - Annual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,878,1,1,283
1461322203945,278,[TEST] Get Quote - 1438 - SemiAnnual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,877,1,1,278
1461322204731,280,[TEST] Get Quote - 1439 - Quarterly,200,1251.05,CalcStorm - Lincoln tests 1-1,text,false,1554,1,1,279
1461322205517,280,[TEST] Get Quote - 1440 - MonthlyPac,200,538.125,CalcStorm - Lincoln tests 1-1,text,false,1554,1,1,280
1461322206309,280,[TEST] Get Quote - 1441 - Annual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,873,1,1,280
1461322207097,281,[TEST] Get Quote - 1442 - SemiAnnual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,871,1,1,281
1461322207887,284,[TEST] Get Quote - 1443 - Quarterly,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,871,1,1,284
1461322208678,279,[TEST] Get Quote - 1444 - MonthlyPac,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,872,1,1,279
1461322209465,279,[TEST] Get Quote - 1445 - Annual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,871,1,1,279
1461322210252,419,[TEST] Get Quote - 1446 - SemiAnnual,200,OK,CalcStorm - Lincoln tests 1-1,text,true,1547,1,1,419
1461322211177,391,[TEST] Get Quote - 1447 - Quarterly,200,OK,CalcStorm - Lincoln tests 1-1,text,true,1541,1,1,391
1461322212079,278,[TEST] Get Quote - 1448 - MonthlyPac,200,OK,CalcStorm - Lincoln tests 1-1,text,true,1539,1,1,278
1461322212862,278,[TEST] Get Quote - 1449 - Annual,200,OK,CalcStorm - Lincoln tests 1-1,text,true,1525,1,1,277
